TPD ID	Activity Type	Target Symbols	Target IDs	Cell Line	Activity
TPD-CML1VP	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-4CJL6F	DC50_6	Androgen receptor	P10275	MDA-MB-453	B
TPD-YIDES9	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-P6E9V3	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-W2P4LP	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-AB89VQ	DC50_6	Androgen receptor	P10275	MDA-MB-453	B
TPD-IYZWCR	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-3W1I2W	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-82MW9L	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-RIXIHP	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-6VJVRY	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-KT3I4M	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-LDB71M	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-U5PL2H	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-9MPCBR	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-JUQN8G	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-S1VBGN	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-IPR07B	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-74GE03	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-W9M4UF	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-1EY8OA	DC50_6	Androgen receptor	P10275	MDA-MB-453	B
TPD-JPRAFE	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-BUWRCI	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-HHSAZC	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-OJJMKK	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-XL708D	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-EX6FM4	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-0OJC2T	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-K3UIXG	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-1XJ60L	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-M040VP	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-1EWCRY	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-FSAPQN	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-HT89V9	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-CMGNPU	DC50_6	Androgen receptor	P10275	MDA-MB-453	B
TPD-78RWKC	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-XYUHVS	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-YNWQW2	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-Y4TQDS	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-9MGQOX	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-AUZ6AU	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-J3OUDR	DC50_6	Androgen receptor	P10275	MDA-MB-453	B
TPD-T5JBC3	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-7EFUJV	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-P6RDQP	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-TCTT6A	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-MICMW5	DC50_6	Androgen receptor	P10275	MDA-MB-453	A
TPD-LKR1T7	DC50_6	Androgen receptor	P10275	MDA-MB-453	B
TPD-MRI21Z	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-VU093B	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-4QBAA1	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-VESFJC	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-KYCXPZ	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-BI5HUO	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-I4J6I5	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-6SYX7K	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-L3DEVA	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-MBDEJB	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-FUCLGS	DC50_6	Androgen receptor	P10275	MDA-MB-453	C
TPD-NHC4E5	DC50_6	Androgen receptor	P10275	MDA-MB-453	D
TPD-BFU8XQ	DC50	ER	P03372	T-47D	C
TPD-GEXC5E	DC50	ER	P03372	T-47D	B
TPD-O17H7F	DC50	ER	P03372	T-47D	A
TPD-I772S8	DC50	ER	P03372	T-47D	B
TPD-ODODF6	DC50	ER	P03372	T-47D	A
TPD-XF67I3	DC50	ER	P03372	T-47D	A
TPD-0WXEWF	DC50	ER	P03372	T-47D	B
TPD-IV4FJK	DC50	ER	P03372	T-47D	A
TPD-CF2HP4	DC50	ER	P03372	T-47D	A
TPD-621ZMV	DC50	ER	P03372	T-47D	B
TPD-C56CDX	DC50	ER	P03372	T-47D	B
TPD-FUNFXB	DC50	ER	P03372	T-47D	A
TPD-HV1JYP	DC50	ER	P03372	T-47D	A
TPD-J41XFQ	DC50	ER	P03372	T-47D	B
TPD-VKT01B	DC50	ER	P03372	T-47D	B
TPD-TPQB2G	DC50	ER	P03372	T-47D	B
TPD-04Q0EN	DC50	ER	P03372	T-47D	A
TPD-9IICDJ	DC50	ER	P03372	T-47D	B
TPD-W0J3E5	DC50	ER	P03372	T-47D	A
TPD-229EOM	DC50	ER	P03372	T-47D	B
TPD-VUAA2D	DC50	ER	P03372	T-47D	C
TPD-GDQRAW	DC50	ER	P03372	T-47D	C
TPD-LYLY37	DC50	ER	P03372	T-47D	B
TPD-568UNP	DC50	ER	P03372	T-47D	B
TPD-QCI18W	DC50	ER	P03372	T-47D	C
TPD-RA5CVV	DC50	ER	P03372	T-47D	C
TPD-DYA594	DC50	ER	P03372	T-47D	C
TPD-B63XJU	DC50	ER	P03372	T-47D	C
TPD-TTN51N	DC50	ER	P03372	T-47D	C
TPD-E2Y14C	DC50	ER	P03372	T-47D	C
TPD-IEBFDH	DC50	ER	P03372	T-47D	C
TPD-74XKFD	DC50	ER	P03372	T-47D	C
TPD-O4YAHW	DC50	ER	P03372	T-47D	C
TPD-NNYLVT	DC50	ER	P03372	T-47D	B
TPD-2EJ1YV	DC50	ER	P03372	T-47D	A
TPD-CGVEO8	DC50	ER	P03372	T-47D	A
TPD-9X7OSF	DC50	ER	P03372	T-47D	A
TPD-3ZPZ2Y	DC50	ER	P03372	T-47D	B
TPD-RJDRNM	DC50	ER	P03372	T-47D	A
TPD-0TDIHX	DC50	ER	P03372	T-47D	A
TPD-RCC7AS	DC50	ER	P03372	T-47D	A
TPD-V6RYOO	DC50	ER	P03372	T-47D	A
TPD-MMW5OF	DC50	ER	P03372	T-47D	A
TPD-I4BCEN	DC50	ER	P03372	T-47D	B
TPD-9CGZCY	DC50	ER	P03372	T-47D	A
TPD-7EUDMV	DC50	ER	P03372	T-47D	C
TPD-79RWN2	DC50	ER	P03372	T-47D	C
TPD-KD5K8X	DC50	ER	P03372	T-47D	B
TPD-OLA3WF	DC50	ER	P03372	T-47D	B
TPD-WTUHAH	DC50	ER	P03372	T-47D	C
TPD-NYWKKZ	DC50	ER	P03372	T-47D	B
TPD-EALEME	DC50	ER	P03372	T-47D	A
TPD-3MA94O	DC50	ER	P03372	T-47D	B
TPD-T0WFZ2	DC50	ER	P03372	T-47D	C
TPD-T1Z292	DC50	ER	P03372	T-47D	B
TPD-HQYBE5	DC50	ER	P03372	T-47D	A
TPD-A42EA4	DC50	ER	P03372	T-47D	B
TPD-6Q1RXE	DC50	ER	P03372	T-47D	B
TPD-0U0Z0H	DC50	ER	P03372	T-47D	C
TPD-L8V8GK	DC50	ER	P03372	T-47D	C
TPD-4OWT58	DC50	ER	P03372	T-47D	A
TPD-2VSQQC	DC50	ER	P03372	T-47D	A
TPD-MYBWMK	DC50	ER	P03372	T-47D	A
TPD-0DSKH5	DC50	ER	P03372	T-47D	A
TPD-YK3D01	DC50	ER	P03372	T-47D	A
TPD-F7OZXS	DC50	ER	P03372	T-47D	B
TPD-DXUA5E	DC50	ER	P03372	T-47D	B
TPD-RQK7SR	DC50	ER	P03372	T-47D	C
TPD-8THSYQ	DC50	ER	P03372	T-47D	B
TPD-F120W4	DC50	ER	P03372	T-47D	A
TPD-KHK46J	DC50	ER	P03372	T-47D	A
TPD-HCA597	DC50	ER	P03372	T-47D	A
TPD-62NOJS	DC50	ER	P03372	T-47D	B
TPD-TUA9KG	DC50	ER	P03372	T-47D	B
TPD-JBZZHA	DC50	ER	P03372	T-47D	C
TPD-RCVACX	DC50	ER	P03372	T-47D	A
TPD-HK1ZT0	DC50	ER	P03372	T-47D	C
TPD-K5ORG7	DC50	ER	P03372	T-47D	B
TPD-2NCJB6	DC50	ER	P03372	T-47D	A
TPD-A8ONI9	DC50	ER	P03372	T-47D	A
TPD-C1ZDXQ	DC50	ER	P03372	T-47D	A
TPD-83B8MM	DC50	ER	P03372	T-47D	A
TPD-H19NZR	DC50	ER	P03372	T-47D	A
TPD-V1AD0P	DC50	ER	P03372	T-47D	B
TPD-HV0M8P	DC50	ER	P03372	T-47D	C
TPD-FLZ93D	DC50	ER	P03372	T-47D	C
TPD-TTEZCR	DC50	ER	P03372	T-47D	C
TPD-FOKUYO	DC50	ER	P03372	T-47D	A
TPD-IINWNR	DC50	ER	P03372	T-47D	A
TPD-AL8W3O	DC50	ER	P03372	T-47D	A
TPD-WP1OHT	DC50	ER	P03372	T-47D	A
TPD-974TV0	DC50	ER	P03372	T-47D	A
TPD-WTK3OJ	DC50	ER	P03372	T-47D	B
TPD-ATWVMX	DC50	ER	P03372	T-47D	A
TPD-E9QA8V	DC50	ER	P03372	T-47D	B
TPD-LVXERQ	DC50	ER	P03372	T-47D	A
TPD-CJE6D1	DC50	ER	P03372	T-47D	B
TPD-RI444E	DC50	ER	P03372	T-47D	A
TPD-8NINNM	DC50	ER	P03372	T-47D	A
TPD-FQWEX1	DC50	ER	P03372	T-47D	C
TPD-69JZ37	DC50	ER	P03372	T-47D	B
TPD-DA69NT	DC50	ER	P03372	T-47D	C
TPD-SMZF86	DC50	ER	P03372	T-47D	C
TPD-0WOBVO	DC50	ER	P03372	T-47D	B
TPD-MJM6BS	DC50	ER	P03372	T-47D	A
TPD-IFWGM7	DC50	ER	P03372	T-47D	A
TPD-7D4XYL	DC50	ER	P03372	T-47D	A
TPD-ALEYTK	DC50	ER	P03372	T-47D	C
TPD-KUKU7S	DC50	ER	P03372	T-47D	A
TPD-27STP8	DC50	ER	P03372	T-47D	A
TPD-M5WJL5	DC50	ER	P03372	T-47D	B
TPD-PLJMG5	DC50	ER	P03372	T-47D	A
TPD-7HVXML	DC50	ER	P03372	T-47D	A
TPD-SRX7RV	DC50	ER	P03372	T-47D	A
TPD-OXO4Y1	DC50	ER	P03372	T-47D	C
TPD-9G3ASD	DC50	ER	P03372	T-47D	C
TPD-56XABI	DC50	ER	P03372	T-47D	C
TPD-DJ2C51	DC50	ER	P03372	T-47D	B
TPD-YFSVAP	DC50	ER	P03372	T-47D	A
TPD-9PPEQC	DC50	ER	P03372	T-47D	A
TPD-WX2QNI	DC50	ER	P03372	T-47D	C
TPD-07VA8M	DC50	ER	P03372	T-47D	B
TPD-3I85QH	DC50	ER	P03372	T-47D	B
TPD-JA9QOD	DC50	ER	P03372	T-47D	A
TPD-TU3I4J	DC50	ER	P03372	T-47D	A
TPD-W4F3AM	DC50	ER	P03372	T-47D	A
TPD-AHQ3CR	DC50	ER	P03372	T-47D	A
TPD-IVN2VA	DC50	ER	P03372	T-47D	B
TPD-1FP2DJ	DC50	ER	P03372	T-47D	B
TPD-LRPYC7	DC50	ER	P03372	T-47D	B
TPD-ND1HSE	DC50	ER	P03372	T-47D	B
TPD-ID0OES	DC50	ER	P03372	T-47D	A
TPD-UQXY6S	DC50	ER	P03372	T-47D	B
TPD-2AWUPM	DC50	ER	P03372	T-47D	B
TPD-93C97G	DC50	ER	P03372	T-47D	B
TPD-ETQ1X3	DC50	ER	P03372	T-47D	B
TPD-ZOOR07	DC50	ER	P03372	T-47D	C
TPD-2TD8FA	DC50	ER	P03372	T-47D	C
TPD-9659O7	DC50	ER	P03372	T-47D	B
TPD-N6DNMS	DC50	ER	P03372	T-47D	C
TPD-MRSHGR	DC50	ER	P03372	T-47D	C
TPD-SIZXBT	DC50	ER	P03372	T-47D	B
TPD-DIC546	DC50	ER	P03372	T-47D	C
TPD-EATDKZ	DC50	ER	P03372	T-47D	C
TPD-WY4ELP	DC50	ER	P03372	T-47D	C
TPD-6X9QXP	DC50	ER	P03372	T-47D	C
TPD-Y6RI4R	DC50	ER	P03372	T-47D	C
TPD-17J5GA	DC50	ER	P03372	T-47D	C
TPD-7SNPVV	DC50	ER	P03372	T-47D	C
TPD-WZ6JLE	DC50	ER	P03372	T-47D	C
TPD-VQP6EI	DC50	ER	P03372	T-47D	B
TPD-ESF97E	DC50	ER	P03372	T-47D	B
TPD-1QYK39	DC50	ER	P03372	T-47D	C
TPD-L459X8	DC50	ER	P03372	T-47D	C
TPD-7LNS29	DC50	ER	P03372	T-47D	A
TPD-5S1BLF	DC50	ER	P03372	T-47D	C
TPD-5VAX2P	DC50	ER	P03372	T-47D	B
TPD-LHUEXF	DC50	ER	P03372	T-47D	B
TPD-WBKFSR	DC50	ER	P03372	T-47D	B
TPD-QU2J07	DC50	ER	P03372	T-47D	B
TPD-0J7VAG	DC50	ER	P03372	T-47D	C
TPD-CRM3DN	DC50	ER	P03372	T-47D	C
TPD-ZRKZMC	DC50	ER	P03372	T-47D	C
TPD-CDG3Y8	DC50	ER	P03372	T-47D	C
TPD-DZ4HIW	DC50	ER	P03372	T-47D	C
TPD-Z49J39	DC50	ER	P03372	T-47D	C
TPD-BWBBZA	DC50	ER	P03372	T-47D	C
TPD-I1LOAT	DC50	ER	P03372	T-47D	B
TPD-5NEQGE	DC50	ER	P03372	T-47D	C
TPD-WAEH3E	DC50	ER	P03372	T-47D	C
TPD-N7LBQE	DC50	ER	P03372	T-47D	B
TPD-AG8EQH	DC50	ER	P03372	T-47D	B
TPD-KGKZO8	DC50	ER	P03372	T-47D	B
TPD-DJ5JN1	DC50	ER	P03372	T-47D	B
TPD-4647VG	DC50	ER	P03372	T-47D	C
TPD-RVUCQF	DC50	ER	P03372	T-47D	A
TPD-PMJEUL	DC50	ER	P03372	T-47D	C
TPD-AS35U1	DC50	ER	P03372	T-47D	C
TPD-68RN3R	DC50	ER	P03372	T-47D	C
TPD-W7EBL3	DC50	ER	P03372	T-47D	B
TPD-FI8LH1	DC50	ER	P03372	T-47D	B
TPD-1469V0	DC50	ER	P03372	T-47D	B
TPD-47GN5D	DC50	ER	P03372	T-47D	B
TPD-W0LYAE	DC50	ER	P03372	T-47D	B
TPD-SM5QPK	DC50	ER	P03372	T-47D	B
TPD-0C96HH	DC50	ER	P03372	T-47D	B
TPD-Z6M7XN	DC50	ER	P03372	T-47D	B
TPD-0IHSWM	DC50	ER	P03372	T-47D	B
TPD-GZFYIW	DC50	ER	P03372	T-47D	B
TPD-EUVFT5	DC50	ER	P03372	T-47D	B
TPD-79HICP	DC50	ER	P03372	T-47D	B
TPD-UHH58Q	DC50	ER	P03372	T-47D	B
TPD-9TY9ZE	DC50	ER	P03372	T-47D	C
TPD-933Q8D	DC50	ER	P03372	T-47D	C
TPD-JU9KGQ	DC50	ER	P03372	T-47D	C
TPD-K5PS83	DC50	ER	P03372	T-47D	C
TPD-PIMTVZ	DC50	ER	P03372	T-47D	C
TPD-3T9JNZ	DC50	ER	P03372	T-47D	C
TPD-BK5DKF	DC50	ER	P03372	T-47D	C
TPD-YTA7QZ	DC50	ER	P03372	T-47D	B
TPD-QHDMP2	DC50	ER	P03372	T-47D	C
TPD-QTPN01	DC50	ER	P03372	T-47D	C
TPD-GR2GZ4	DC50	ER	P03372	T-47D	C
TPD-DX4W8O	DC50	ER	P03372	T-47D	B
TPD-VUGZE2	DC50	ER	P03372	T-47D	C
TPD-2UTXJE	DC50	ER	P03372	T-47D	C
TPD-3A1GTX	DC50	ER	P03372	T-47D	C
TPD-49XD5O	DC50	ER	P03372	T-47D	C
TPD-8L5VJ3	DC50	ER	P03372	T-47D	C
TPD-3SO8EU	DC50	ER	P03372	T-47D	C
TPD-08LETR	DC50	ER	P03372	T-47D	C
TPD-2PB2PD	DC50	ER	P03372	T-47D	C
TPD-CSDGK7	DC50	ER	P03372	T-47D	C
TPD-U6813J	DC50	ER	P03372	T-47D	C
TPD-47HWAU	DC50	ER	P03372	T-47D	C
TPD-KNQGCT	DC50	ER	P03372	T-47D	B
TPD-0RZF1F	DC50	ER	P03372	T-47D	B
TPD-UA318H	DC50	ER	P03372	T-47D	B
TPD-3649V5	DC50	ER	P03372	T-47D	B
TPD-4PZHXV	DC50	ER	P03372	T-47D	B
TPD-J43LVS	DC50	ER	P03372	T-47D	C
TPD-LS5KMO	DC50	ER	P03372	T-47D	C
TPD-897PCM	DC50	ER	P03372	T-47D	B
TPD-BVULWL	DC50	ER	P03372	T-47D	C
TPD-76BUYV	DC50	ER	P03372	T-47D	C
TPD-Z6TK5R	DC50	ER	P03372	T-47D	C
TPD-W9BQVS	DC50	ER	P03372	T-47D	C
TPD-MMUGH7	DC50	ER	P03372	T-47D	C
TPD-BO7TTD	DC50	ER	P03372	T-47D	B
TPD-SEB7LB	DC50	ER	P03372	T-47D	A
TPD-HDX1UJ	DC50	ER	P03372	T-47D	B
TPD-O58XJP	DC50	ER	P03372	T-47D	C
TPD-8A81W8	DC50	ER	P03372	T-47D	A
TPD-VD8OO5	DC50	ER	P03372	T-47D	B
TPD-6W5ICK	DC50	ER	P03372	T-47D	C
TPD-PBN63Q	DC50	ER	P03372	T-47D	C
TPD-OKYSZ4	DC50	ER	P03372	T-47D	A
TPD-KNJ3CZ	DC50	ER	P03372	T-47D	A
TPD-BWWHD4	DC50	ER	P03372	T-47D	A
TPD-C6WJ0P	DC50	ER	P03372	T-47D	A
TPD-8FBKV5	DC50	ER	P03372	T-47D	B
TPD-S0XE43	DC50	ER	P03372	T-47D	B
TPD-DS1BKI	DC50	ER	P03372	T-47D	A
TPD-68XZD0	DC50	ER	P03372	T-47D	A
TPD-BKSZ6G	DC50	ER	P03372	T-47D	B
TPD-HCH4JN	DC50	ER	P03372	T-47D	B
TPD-Y1E4S5	DC50	ER	P03372	T-47D	B
TPD-YQHGI1	DC50	ER	P03372	T-47D	B
TPD-OK3HOY	DC50	ER	P03372	T-47D	B
TPD-KNFYKA	DC50	ER	P03372	T-47D	B
TPD-AH227H	DC50	ER	P03372	T-47D	B
TPD-24DQAO	DC50	ER	P03372	T-47D	C
TPD-1R3EJC	DC50	ER	P03372	T-47D	C
TPD-BD8L8V	DC50	ER	P03372	T-47D	A
TPD-VCW9NA	DC50	ER	P03372	T-47D	C
TPD-9FVYQI	DC50	ER	P03372	T-47D	B
TPD-U02QNJ	DC50	ER	P03372	T-47D	C
TPD-VDNLM9	DC50	ER	P03372	T-47D	A
TPD-FSJWOA	DC50	ER	P03372	T-47D	C
TPD-H6RUU4	DC50	ER	P03372	T-47D	C
TPD-6KUIM8	DC50	ER	P03372	T-47D	C
TPD-K9QICT	DC50	ER	P03372	T-47D	B
TPD-OP1B37	DC50	ER	P03372	T-47D	C
TPD-P9ZA6N	DC50	ER	P03372	T-47D	B
TPD-VC2XZG	DC50	ER	P03372	T-47D	C
TPD-WFR99C	DC50	ER	P03372	T-47D	C
TPD-QIZTRK	DC50	ER	P03372	T-47D	C
TPD-0K91VU	DC50	ER	P03372	T-47D	C
TPD-UD6SQJ	DC50	ER	P03372	T-47D	C
TPD-BRSP09	DC50	ER	P03372	T-47D	B
TPD-V52N6M	DC50	ER	P03372	T-47D	C
TPD-53OQMW	DC50	ER	P03372	T-47D	B
TPD-I46JYR	DC50	ER	P03372	T-47D	B
TPD-P6OL2T	DC50	ER	P03372	T-47D	C
TPD-GTH0A1	DC50	ER	P03372	T-47D	C
TPD-6EDJUT	DC50	ER	P03372	T-47D	C
TPD-10MOD9	DC50	ER	P03372	T-47D	C
TPD-AREUJG	DC50	ER	P03372	T-47D	C
TPD-R75DGE	DC50	ER	P03372	T-47D	C
TPD-W0MZP5	DC50	ER	P03372	T-47D	B
TPD-LXX6YL	DC50	ER	P03372	T-47D	C
TPD-98AXB2	DC50	ER	P03372	T-47D	B
TPD-2R8PV8	DC50	ER	P03372	T-47D	A
TPD-MBG2D1	DC50	ER	P03372	T-47D	C
TPD-4OIEMO	DC50	ER	P03372	T-47D	C
TPD-7TYBO3	DC50	ER	P03372	T-47D	C
TPD-54X7OS	DC50	ER	P03372	T-47D	A
TPD-UXDZJ4	DC50	ER	P03372	T-47D	B
TPD-8PFXKF	DC50	ER	P03372	T-47D	B
TPD-MRTCER	DC50	ER	P03372	T-47D	C
TPD-YT8HXC	DC50	ER	P03372	T-47D	B
TPD-0R0R72	DC50	ER	P03372	T-47D	C
TPD-KFSG64	DC50	ER	P03372	T-47D	C
TPD-64HV8Y	DC50	ER	P03372	T-47D	B
TPD-O52QEB	DC50	ER	P03372	T-47D	C
TPD-TUEHVB	DC50	ER	P03372	T-47D	B
TPD-BYKAGH	DC50	ER	P03372	T-47D	C
TPD-AQOE7N	DC50	ER	P03372	T-47D	C
TPD-4DYOKX	DC50	ER	P03372	T-47D	B
TPD-2UHP1Y	DC50	ER	P03372	T-47D	A
TPD-J0T9QL	DC50	ER	P03372	T-47D	C
TPD-GXT89C	DC50	ER	P03372	T-47D	A
TPD-2WW4VR	DC50	ER	P03372	T-47D	A
TPD-C4R3PC	DC50	ER	P03372	T-47D	C
TPD-I1917C	DC50	ER	P03372	T-47D	A
TPD-XA8DE9	DC50	ER	P03372	T-47D	C
TPD-SI83GQ	DC50	ER	P03372	T-47D	B
TPD-USMVP6	DC50	ER	P03372	T-47D	C
TPD-BP6PZM	DC50	ER	P03372	T-47D	C
TPD-DP7VJ0	DC50	ER	P03372	T-47D	C
TPD-CPRI7H	DC50	ER	P03372	T-47D	C
TPD-D2BBUG	DC50	ER	P03372	T-47D	C
TPD-XATKGV	DC50	ER	P03372	T-47D	C
TPD-X4XXI6	DC50	ER	P03372	T-47D	C
TPD-E9F7PU	DC50	ER	P03372	T-47D	C
TPD-HTCTRG	DC50	ER	P03372	T-47D	C
TPD-GA9FX5	DC50	ER	P03372	T-47D	C
TPD-7TOBRE	DC50	ER	P03372	T-47D	A
TPD-JFVKRF	DC50	ER	P03372	T-47D	C
TPD-BGHHO6	DC50	ER	P03372	T-47D	C
TPD-G3QNBI	DC50	ER	P03372	T-47D	C
TPD-AM5H3L	DC50	ER	P03372	T-47D	C
TPD-Y76XZZ	DC50	ER	P03372	T-47D	C
TPD-SM01DD	DC50	ER	P03372	T-47D	A
TPD-8O38Z2	DC50	ER	P03372	T-47D	C
TPD-AR6980	DC50	ER	P03372	T-47D	C
TPD-1XHYB7	DC50	ER	P03372	T-47D	C
TPD-G8HOYY	DC50	ER	P03372	T-47D	C
TPD-8KWBKB	DC50	ER	P03372	T-47D	A
TPD-QPN4RO	DC50	ER	P03372	T-47D	C
TPD-IPOYSE	DC50	ER	P03372	T-47D	C
TPD-66YCEW	DC50	ER	P03372	T-47D	B
TPD-7EQDMQ	DC50	ER	P03372	T-47D	A
TPD-L4O28P	DC50	ER	P03372	T-47D	C
TPD-4R1BFA	DC50	ER	P03372	T-47D	C
TPD-SUJY1F	DC50	ER	P03372	T-47D	C
TPD-F2TK3A	DC50	ER	P03372	T-47D	C
TPD-SKIE0R	DC50	ER	P03372	T-47D	A
TPD-DHWH3C	DC50	ER	P03372	T-47D	C
TPD-5Y8HJ8	DC50	ER	P03372	T-47D	C
TPD-RP726D	DC50	ER	P03372	T-47D	B
TPD-FWCAIX	DC50	ER	P03372	T-47D	A
TPD-T9KP9Y	DC50	ER	P03372	T-47D	C
TPD-JB2ZA1	DC50	ER	P03372	T-47D	A
TPD-T2O5G0	DC50	ER	P03372	T-47D	B
TPD-PCORJ9	DC50	ER	P03372	T-47D	C
TPD-CATR4F	DC50	ER	P03372	T-47D	C
TPD-53J7Q8	DC50	ER	P03372	T-47D	C
TPD-7BR5RJ	DC50	ER	P03372	T-47D	A
TPD-9STXLD	DC50	ER	P03372	T-47D	C
TPD-RBJ6F5	DC50	ER	P03372	T-47D	C
TPD-RHB1YD	DC50	ER	P03372	T-47D	A
TPD-T91ICM	DC50	ER	P03372	T-47D	A
TPD-5WT8QP	DC50	ER	P03372	T-47D	C
TPD-KER110	DC50	ER	P03372	T-47D	C
TPD-PFFLXK	DC50	ER	P03372	T-47D	C
TPD-FBIGBX	DC50	ER	P03372	T-47D	C
TPD-295J6N	DC50	ER	P03372	T-47D	B
TPD-HWHFDH	DC50	ER	P03372	T-47D	C
TPD-3SEZQA	DC50	ER	P03372	T-47D	C
TPD-YALVB9	DC50	ER	P03372	T-47D	C
TPD-7XDBWE	DC50	ER	P03372	T-47D	C
TPD-W2QBTO	DC50	ER	P03372	T-47D	C
TPD-WJIM6M	DC50	ER	P03372	T-47D	C
TPD-J6AV0R	DC50	ER	P03372	T-47D	C
TPD-MU44Y5	DC50	ER	P03372	T-47D	B
TPD-3YFDA6	DC50	ER	P03372	T-47D	A
TPD-7AZZ06	DC50	ER	P03372	T-47D	B
TPD-XUX8I0	DC50	ER	P03372	T-47D	C
TPD-5YUT8P	DC50	ER	P03372	T-47D	C
TPD-E530IR	DC50	ER	P03372	T-47D	C
TPD-MYY1LJ	DC50	ER	P03372	T-47D	C
TPD-HA3HD7	DC50	ER	P03372	T-47D	C
TPD-0P6PB9	DC50	ER	P03372	T-47D	B
TPD-D4S8OF	DC50	ER	P03372	T-47D	C
TPD-OE62FM	DC50	ER	P03372	T-47D	C
TPD-4PF81J	DC50	ER	P03372	T-47D	C
TPD-YW2W5X	DC50	ER	P03372	T-47D	C
TPD-1NR07Y	DC50	ER	P03372	T-47D	C
TPD-MRJESV	DC50	ER	P03372	T-47D	B
TPD-38TUF9	DC50	ER	P03372	T-47D	C
TPD-PBS359	DC50	ER	P03372	T-47D	C
TPD-Q2HITS	DC50	ER	P03372	T-47D	C
TPD-5YW9VV	DC50	ER	P03372	T-47D	C
TPD-M75T8G	DC50	ER	P03372	T-47D	A
TPD-B3QTZB	DC50	ER	P03372	T-47D	B
TPD-8IZ0Q8	DC50	ER	P03372	T-47D	A
TPD-AP0FXT	DC50	ER	P03372	T-47D	C
TPD-5NF1IL	DC50	ER	P03372	T-47D	C
TPD-M62PS6	DC50	ER	P03372	T-47D	A
TPD-SKT58H	DC50	ER	P03372	T-47D	B
TPD-M1HCCT	DC50	ER	P03372	T-47D	A
TPD-FM4P9I	DC50	ER	P03372	T-47D	B
TPD-63BXGU	DC50	ER	P03372	T-47D	C
TPD-DXX0VK	DC50	ER	P03372	T-47D	C
TPD-BD7EK2	DC50	ER	P03372	T-47D	A
TPD-38KNH2	DC50	ER	P03372	T-47D	B
TPD-V1QZT5	DC50	ER	P03372	T-47D	A
TPD-PW59M0	DC50	ER	P03372	T-47D	C
TPD-JT49NN	DC50	ER	P03372	T-47D	B
TPD-PXED6S	DC50	ER	P03372	T-47D	A
TPD-3JCTR7	DC50	ER	P03372	T-47D	A
